tanggal,produk,qty,Harga_Jual,Modal,Profit,is_event,event_type,bulan
2025-01-01,-,0,0,0,0,True,Tahun Baru Masehi,1
2025-01-02,bouquet tumbelina koran,1,88000,53000,35000,False,-,1
2025-01-02,bouquet model koran tumbelina mini,1,88000,53000,35000,False,-,1
2025-01-03,-,0,0,0,0,False,-,1
2025-01-04,-,0,0,0,0,False,-,1
2025-01-05,bouquet costum snack jumbo,1,185000,122000,63000,False,-,1
2025-01-06,-,0,0,0,0,False,-,1
2025-01-07,-,0,0,0,0,False,-,1
2025-01-08,-,0,0,0,0,False,-,1
2025-01-09,boquet costum rokok,1,128000,74000,54000,False,-,1
2025-01-10,-,0,0,0,0,False,-,1
2025-01-11,-,0,0,0,0,False,-,1
2025-01-12,-,0,0,0,0,False,-,1
2025-01-13,-,0,0,0,0,False,-,1
2025-01-14,-,0,0,0,0,False,-,1
2025-01-15,-,0,0,0,0,False,-,1
2025-01-16,-,0,0,0,0,False,-,1
2025-01-17,-,0,0,0,0,False,-,1
2025-01-18,-,0,0,0,0,False,-,1
2025-01-19,-,0,0,0,0,False,-,1
2025-01-20,-,0,0,0,0,False,-,1
2025-01-21,-,0,0,0,0,False,-,1
2025-01-22,-,0,0,0,0,False,-,1
2025-01-23,-,0,0,0,0,False,-,1
2025-01-24,-,0,0,0,0,False,-,1
2025-01-25,-,0,0,0,0,False,-,1
2025-01-26,-,0,0,0,0,False,-,1
2025-01-27,-,0,0,0,0,False,-,1
2025-01-28,frame birthjday,1,78000,35000,43000,False,-,1
2025-01-29,bouquet kopi,1,48000,28000,20000,True,Tahun Baru Imlek,1
2025-01-29,bouquet snack bangbang,1,64000,37000,27000,True,Tahun Baru Imlek,1
2025-01-29,bouquet merah medium,1,65000,35000,30000,True,Tahun Baru Imlek,1
2025-01-29,boquet costum rokok,1,128000,74000,54000,True,Tahun Baru Imlek,1
2025-01-30,-,0,0,0,0,False,-,1
2025-01-31,bouquet costum snack jumbo,1,185000,122000,63000,False,-,1
2025-02-01,-,0,0,0,0,False,-,2
2025-02-02,-,0,0,0,0,False,-,2
2025-02-03,-,0,0,0,0,False,-,2
2025-02-04,-,0,0,0,0,False,-,2
2025-02-05,-,0,0,0,0,False,-,2
2025-02-06,frame birthday,2,156000,70000,86000,False,-,2
2025-02-07,bouquet warna ungu medium,1,65000,35000,30000,False,-,2
2025-02-08,-,0,0,0,0,False,-,2
2025-02-09,-,0,0,0,0,False,-,2
2025-02-10,-,0,0,0,0,False,-,2
2025-02-11,bouquet bunga coklat 3,1,125000,86000,39000,False,-,2
2025-02-11,bouquet jumbo mawar 100 pc,1,650000,321000,329000,False,-,2
2025-02-12,-,0,0,0,0,False,-,2
2025-02-13,frame birthjday,1,78000,35000,43000,False,-,2
2025-02-13,frame birthjday,1,78000,35000,43000,False,-,2
2025-02-14,frame besar,1,78000,35000,43000,True,Valentine,2
2025-02-14,bouquet model koran tumbelina mini,1,88000,53000,35000,True,Valentine,2
2025-02-14,bouquet costum jepit kamboja,1,64000,39000,25000,True,Valentine,2
2025-02-14,frame mini,1,55000,25000,30000,True,Valentine,2
2025-02-14,bouquet motif koran,1,88000,53000,35000,True,Valentine,2
2025-02-14,bouquet kopi inc bunga mini,1,55000,30000,25000,True,Valentine,2
2025-02-14,bouquet model koran tumbelina mini,1,88000,53000,35000,True,Valentine,2
2025-02-14,frame birthday,1,78000,35000,43000,True,Valentine,2
2025-02-14,bouquet blue 9 bunga,2,270000,134000,136000,True,Valentine,2
2025-02-14,bouquet kopi inc bunga mini,2,110000,60000,50000,True,Valentine,2
2025-02-14,bouquet kopi,1,48000,28000,20000,True,Valentine,2
2025-02-14,frame birthday besar,2,156000,70000,86000,True,Valentine,2
2025-02-14,bouquet costum merah,1,135000,69000,66000,True,Valentine,2
2025-02-14,bouquet blue 9 bunga,1,135000,67000,68000,True,Valentine,2
2025-02-15,-,0,0,0,0,False,-,2
2025-02-16,bouquet blue 9 bunga,1,135000,67000,68000,False,-,2
2025-02-16,bouquet snack tango,1,50000,30000,20000,False,-,2
2025-02-17,-,0,0,0,0,False,-,2
2025-02-18,-,0,0,0,0,False,-,2
2025-02-19,-,0,0,0,0,False,-,2
2025-02-20,-,0,0,0,0,False,-,2
2025-02-21,-,0,0,0,0,False,-,2
2025-02-22,-,0,0,0,0,False,-,2
2025-02-23,costum snack bouquet + flwr,1,265000,197000,68000,False,-,2
2025-02-24,-,0,0,0,0,False,-,2
2025-02-25,bouquet snack,1,45000,25000,20000,False,-,2
2025-02-26,-,0,0,0,0,False,-,2
2025-02-27,-,0,0,0,0,False,-,2
2025-02-28,frame birthday besar,1,78000,35000,43000,False,-,2
2025-03-01,-,0,0,0,0,False,-,3
2025-03-02,bouquet rose isi 9,1,135000,67000,68000,False,-,3
2025-03-03,-,0,0,0,0,False,-,3
2025-03-04,-,0,0,0,0,False,-,3
2025-03-05,-,0,0,0,0,False,-,3
2025-03-06,-,0,0,0,0,False,-,3
2025-03-07,frame costum,1,78000,35000,43000,False,-,3
2025-03-08,-,0,0,0,0,False,-,3
2025-03-09,bouquet blue 9 bunga,1,135000,67000,68000,False,-,3
2025-03-10,-,0,0,0,0,False,-,3
2025-03-11,bouquet flower medium,1,65000,38000,27000,False,-,3
2025-03-12,-,0,0,0,0,False,-,3
2025-03-13,-,0,0,0,0,False,-,3
2025-03-14,-,0,0,0,0,False,-,3
2025-03-15,-,0,0,0,0,False,-,3
2025-03-16,-,0,0,0,0,False,-,3
2025-03-17,-,0,0,0,0,False,-,3
2025-03-18,-,0,0,0,0,False,-,3
2025-03-19,-,0,0,0,0,False,-,3
2025-03-20,-,0,0,0,0,False,-,3
2025-03-21,-,0,0,0,0,False,-,3
2025-03-22,-,0,0,0,0,False,-,3
2025-03-23,-,0,0,0,0,False,-,3
2025-03-24,-,0,0,0,0,False,-,3
2025-03-25,-,0,0,0,0,False,-,3
2025-03-26,-,0,0,0,0,False,-,3
2025-03-27,-,0,0,0,0,False,-,3
2025-03-28,bucket isi 9 bunga,3,405000,201000,204000,False,-,3
2025-03-28,costum snack bouquet + flwr,1,265000,197000,68000,False,-,3
2025-03-29,-,0,0,0,0,False,-,3
2025-03-30,-,0,0,0,0,False,-,3
2025-03-31,bouquet snack bangbang,1,64000,37000,27000,True,Idul Fitri,3
2025-03-31,frame birthday,1,78000,35000,43000,True,Idul Fitri,3
2025-03-31,frame valentine besar,1,468000,210000,258000,True,Idul Fitri,3
2025-03-31,boquet costum rokok,1,128000,74000,54000,True,Idul Fitri,3
2025-03-31,bouquet merah medium,1,65000,35000,30000,True,Idul Fitri,3
2025-03-31,bouquet snack coklat mini,1,45000,25000,20000,True,Idul Fitri,3
2025-04-01,bouquet kopi,1,48000,28000,20000,True,Idul Fitri,4
2025-04-01,frame birthjday,2,156000,70000,86000,True,Idul Fitri,4
2025-04-01,bouquet jumbo mawar 100 pc,1,650000,321000,329000,True,Idul Fitri,4
2025-04-01,bouquet flower,1,77000,54000,23000,True,Idul Fitri,4
2025-04-01,frame besar,1,78000,35000,43000,True,Idul Fitri,4
2025-04-01,bouquet silverqueen mini 4,1,110000,67000,43000,True,Idul Fitri,4
2025-04-01,frame birthday,2,110000,50000,60000,True,Idul Fitri,4
2025-04-01,bouquet flower medium unggu,1,65000,35000,30000,True,Idul Fitri,4
2025-04-01,bouquet isi 9 mawar,1,135000,97000,38000,True,Idul Fitri,4
